diff(10),diff(10),diff(11),diff(11),diff(12),diff(12),diff(13),diff(13),diff(14),diff(14),diff(15),diff(15),diff(16),diff(16),diff(18),diff(18),diff(19),diff(19),diff(20),diff(20),diff(21),diff(21),diff(22),diff(22),diff(23),diff(23),diff(24),diff(24),diff(25),diff(25),diff(26),diff(26),diff(27),diff(27),diff(28),diff(28),diff(29),diff(29),diff(3),diff(3),diff(30),diff(30),diff(31),diff(31),diff(32),diff(32),diff(33),diff(33),diff(34),diff(34),diff(35),diff(35),diff(36),diff(36),diff(37),diff(37),diff(38),diff(38),diff(39),diff(39),diff(4),diff(4),diff(40),diff(40),diff(41),diff(41),diff(42),diff(42),diff(43),diff(43),diff(44),diff(44),diff(45),diff(45),diff(5),diff(5),diff(6),diff(6),diff(7),diff(7),diff(8),diff(8),diff(9),diff(9)
curved,line,ball,point,four,sides,longer,shape,right,90,smaller,straight,ball,far,center,dot,line,line,pointed,triangle,position,circle,slightly,long,,,slatned,rhombus,trapezoid,two,shape,rectangular,shape,triangles,others,orientation,rotate,irratic,different,hole,line,edges,aligned,parallel,end,point,pointing,triangles,bigger,one,wider,arent,flipped,mismatched,two,parallel,right,dot,small,smaller,outside,placement,parallel,apart,left,orientation,different,left,space,spaced,lines,counter,dots,two,way,isnt,two,shapes,line,dot,instead,straight,one,concave
curved,straight,ball,aligned,shape,different,longer,triangle,right,degree,smaller,like,ball,line,center,placement,dot,black,others,equilateral,position,left,slightly,side,,,slatned,rectangle,trapezoid,different,shape,shaped,shape,exact,one,cant,shape,crinkles,different,middle,line,uneven,aligned,facing,end,one,pointing,evenly,bigger,shape,wider,parallel,flipped,shape,lines,lines,right,right,small,big,blob,different,two,lines,ball,isnt,different,line,one,dots,lines,clockwise,dots,one,way,connected,shapes,two,line,orientation,curved,line,one,side
instead,line,ball,end,shape,shape,longer,tip,right,angle,smaller,others,spaced,dot,white,point,dot,dot,others,triangle,position,line,larger,hole,,,lines,diamond,trapezoid,lengths,quadrilateral,shape,shape,reflection,one,evenly,shape,irratic,shape,hole,symmetry,jagged,aligned,opposite,end,triangle,pointing,shaped,shapes,different,wider,center,flipped,orientations,lines,arent,upright,different,small,triangle,blob,dot,two,parallel,ball,facing,different,instead,one,spaced,face,oriented,dots,side,line,shape,shapes,shapes,point,dot,curved,straight,seems,concave
instead,straight,ball,line,three,different,longer,top,angels,doesnt,line,extra,spaced,far,white,centered,dot,left,triangle,tall,position,others,larger,closer,,,lines,rectangle,instead,sides,quadrilateral,isnt,triangles,triangles,one,split,remain,crinkles,shape,middle,symmetry,edges,aligned,directions,end,points,pointing,others,shapes,orientation,wider,line,upside,mismatched,lines,parallel,upright,orientation,small,compared,blob,placement,lares,lines,ball,right,different,right,dots,dots,face,counter,dots,two,line,closed,instead,two,point,isnt,line,line,seems,side
straight,line,side,point,three,shape,base,shape,angels,90,line,line,spaced,line,dot,point,dot,hand,triangle,triangle,dot,black,larger,long,,,slatned,diamond,instead,two,quadrilateral,rectangular,triangles,exact,one,vertically,remain,irratic,hole,hole,symmetry,uneven,points,second,end,black,direction,shapes,shapes,one,triangles,shapes,upside,shape,parallel,lines,facing,different,small,others,different,dot,lares,parallel,facing,isnt,side,two,dots,spaced,face,clockwise,larger,spacing,connected,shape,instead,shapes,point,line,line,straight,incomplete,concave
straight,straight,side,aligned,sides,different,base,triangle,angels,degree,line,diagonal,farther,dot,dot,centered,dot,side,triangle,short,dot,circle,larger,side,,,slatned,rectangle,instead,different,quadrilateral,shaped,triangles,reflection,jagged,cant,rotate,shape,hole,middle,figure,pointy,points,symbol,end,circle,direction,pointing,shapes,shape,triangles,arent,upside,orientations,parallel,arent,facing,orientation,triangle,small,different,outside,parallel,lines,facing,facing,side,small,space,small,right,oriented,larger,different,connected,closed,one,two,line,dot,straight,line,incomplete,side
line,curved,side,end,sides,shape,base,tip,angels,angle,line,line,farther,far,centered,point,dot,line,pointed,tall,dot,left,slightly,sides,,,lines,doesnt,instead,lengths,shape,2,general,shapes,jagged,evenly,rotate,symmetrical,middle,hole,figure,tips,points,flipped,towards,point,triangles,shapes,bigger,different,triangles,parallel,enlarged,shape,parallel,parallel,right,different,triangle,triangle,different,image,parallel,parallel,facing,right,side,lines,space,circles,right,counter,spacing,spacing,way,shape,one,shapes,line,isnt,straight,straight,one,shaped
line,straight,side,line,instead,different,base,top,angels,crosses,line,isnt,farther,line,centered,centered,lower,black,pointed,triangle,dot,line,slightly,inequal,,,lines,90,parallelogram,sides,shape,sides,general,parralel,jagged,split,shape,shape,middle,middle,figure,match,points,one,towards,one,triangles,pointing,bigger,orientation,triangles,center,enlarged,orientation,diverging,lines,right,orientation,triangle,much,shape,dot,two,parallel,left,isnt,side,left,space,perfectly,right,clockwise,spacing,different,way,closed,two,two,line,line,instead,line,one,like
curved,curved,ball,small,instead,shape,longer,different,angels,like,line,straight,ball,different,white,white,lower,dot,pointed,short,dot,others,larger,sides,,,lines,degree,parallelogram,two,quadrilateral,2,shape,shapes,jagged,vertically,shape,symmetrical,different,hole,figure,tips,face,second,towards,triangle,pointing,shapes,shapes,different,triangles,line,symbol,shape,diverging,arent,upright,isnt,triangle,smaller,shape,outside,two,lines,left,facing,side,line,space,spaced,2,two,dots,spacing,line,open,two,shapes,point,dot,instead,straight,one,moon
curved,straight,ball,black,four,different,longer,angle,angels,x,line,like,ball,dot,white,circle,lower,left,others,tall,extreme,black,larger,inequal,,,lines,angles,parallelogram,different,quadrilateral,sides,shape,parralel,part,cant,remain,shape,different,center,figure,different,face,symbol,towards,points,pointing,pointing,shapes,orientation,wider,triangle,symbol,orientation,diverging,parallel,upright,facing,triangle,big,shape,image,lares,parallel,left,right,side,instead,one,small,2,small,dots,different,line,space,two,one,point,attached,curved,line,one,circletriange
instead,curved,ball,circle,four,shape,base,different,right,crosses,line,others,ball,orientation,white,center,lower,hand,others,triangle,extreme,circle,slightly,shape,,,slatned,doesnt,parallelogram,lengths,shape,different,triangles,shapes,part,evenly,remain,symmetrical,shape,hole,figure,size,face,flipped,towards,black,direction,different,bigger,shapes,wider,shapes,flipped,shape,two,lines,upright,left,triangle,triangle,ball,dot,lares,lines,ball,top,side,right,one,circles,2,lines,larger,different,line,incomplete,shapes,two,line,dot,curved,straight,seems,shaped
instead,straight,ball,line,shape,quadrilateral,base,angle,right,like,slanted,extra,spaced,different,white,big,lower,side,others,short,extreme,left,slightly,bigger,,,slatned,90,shape,square,shape,shape,triangles,parralel,part,split,rotate,shape,shape,center,figure,top,face,one,towards,circle,direction,direction,bigger,facing,wider,wider,flipped,orientation,two,parallel,facing,isnt,triangle,compared,ball,outside,parallel,parallel,ball,pointing,two,facing,one,perfectly,2,point,larger,arrangement,connected,open,shapes,shapes,line,attached,line,straight,seems,like
straight,curved,ball,line,wrong,quadrilateral,longer,different,right,x,slanted,line,spaced,dot,white,circle,lower,line,triangle,one,extreme,line,slightly,others,,,slatned,degree,shape,rectangle,quadrilateral,different,general,different,part,vertically,rotate,orientation,hole,hole,figure,biggersmaller,points,oriented,dot,point,triangles,different,bigger,different,triangles,triangle,upside,shape,lines,lines,facing,facing,triangle,others,ball,image,parallel,lines,ball,left,two,left,one,spaced,2,downward,spacing,different,connected,space,shapes,one,point,dot,line,line,seems,moon
straight,straight,side,small,shape,triangle,longer,angle,angels,crosses,slanted,diagonal,spaced,orientation,dot,white,line,black,triangle,length,extreme,others,larger,shape,,,slatned,angles,trapezoid,square,quadrilateral,shape,general,size,larger,cant,shape,shape,hole,center,figure,bottom,points,direction,dot,one,triangles,direction,bigger,directions,triangles,shapes,upside,orientation,lines,parallel,facing,left,small,triangle,outside,dot,lines,lines,facing,top,lines,facing,dots,small,2,lower,spacing,arrangement,connected,incomplete,instead,two,point,isnt,line,curved,seems,circletriange
curved,line,side,black,shape,four,base,different,angels,like,slanted,line,farther,different,dot,circle,line,dot,pointed,one,position,dot,larger,bigger,,,lines,rectangle,trapezoid,rectangle,shape,unequal,shape,different,larger,evenly,shape,orientation,middle,hole,line,pointy,face,oriented,dot,triangle,pointing,different,shapes,shapes,triangles,wider,enlarged,shapes,parallel,lines,right,isnt,small,really,outside,outside,lines,parallel,facing,pointing,lines,left,dots,circles,2,right,dots,different,way,open,instead,shapes,point,line,straight,straight,incomplete,shaped
curved,curved,side,circle,shape,sides,base,angle,angels,x,slanted,isnt,farther,dot,dot,center,line,left,pointed,length,position,side,larger,others,,,slatned,rectangle,instead,square,shape,sides,shape,size,larger,split,remain,shape,middle,center,line,tips,face,direction,dot,points,pointing,direction,shapes,facing,wider,triangles,enlarged,arent,parallel,parallel,right,facing,small,large,outside,image,parallel,lines,facing,left,different,facing,dots,perfectly,lines,two,dots,arrangement,way,space,instead,one,point,next,straight,line,incomplete,like
curved,curved,side,line,wrong,triangle,right,triangle,angels,one,slanted,straight,farther,orientation,dot,big,line,hand,others,one,position,line,slightly,dot,,,lines,rectangular,instead,rectangle,wrong,unequal,triangles,different,larger,vertically,remain,orientation,different,empty,line,match,points,triangles,dot,black,pointed,shapes,shapes,different,wider,thicker,enlarged,facing,diverging,lines,right,left,small,one,shape,dot,parallel,parallel,left,top,different,left,dots,spaced,lines,small,dots,even,way,incomplete,one,two,line,dot,straight,curved,incomplete,moon
curved,line,side,line,wrong,four,right,right,angels,line,slanted,like,ball,dot,dot,circle,line,side,others,length,dot,dot,slightly,closest,,,lines,shape,parallelogram,square,wrong,sides,triangles,size,others,cant,rotate,cant,different,shape,line,tips,points,oriented,dot,circle,pointed,werent,shapes,directions,wider,others,enlarged,direction,diverging,parallel,upright,line,small,really,shape,outside,potentially,lines,left,pointing,side,facing,space,space,lines,lines,dots,amount,line,open,one,shapes,line,isnt,instead,straight,incomplete,circletriange
curved,straight,ball,dot,wrong,sides,right,triangle,angels,longer,slanted,others,ball,line,centered,white,line,line,triangle,shape,dot,side,slightly,left,,,lines,diagonal,parallelogram,rectangle,shape,different,wider,sides,others,evenly,rotate,evenly,different,center,line,different,points,direction,point,tow,pointed,flipped,bigger,shapes,triangles,triangles,symbol,shapes,two,lines,upright,left,small,small,shape,image,potentially,parallel,left,left,side,left,space,two,lines,point,dots,dots,line,shape,one,one,line,line,instead,line,one,curved
curved,straight,ball,line,shape,isnt,triangle,triangle,right,one,smaller,small,spaced,dot,centered,circle,dot,dot,triangle,leaner,dot,line,slightly,side,,,lines,lines,shape,diagonal,shape,shape,wider,equally,others,split,rotate,split,shape,empty,line,size,points,others,point,triangles,pointed,side,bigger,facing,triangles,thicker,symbol,arent,two,angle,facing,line,triangle,triangle,different,point,intersecting,lines,ball,black,two,lines,space,dots,lines,downward,dots,big,line,closed,two,one,line,next,instead,curved,one,inside
curved,line,side,dot,shape,foursided,triangle,right,right,line,smaller,line,spaced,line,centered,center,dot,centered,pointed,shape,extreme,dot,larger,dot,,,slatned,rectangular,shape,rectangular,shape,orientation,wider,long,others,vertically,rotate,horizontally,shape,shape,line,top,face,triangles,point,facing,pointed,line,bigger,opposite,triangles,others,symbol,facing,two,two,facing,left,triangle,really,different,figure,intersecting,parallel,ball,circle,two,point,one,space,lines,lower,dots,space,solid,open,two,shape,point,dot,curved,straight,seems,curved
curved,line,side,line,wrong,isnt,triangle,triangle,right,longer,smaller,perpendicular,farther,dot,centered,big,lower,dot,pointed,leaner,extreme,side,larger,closest,,,slatned,shape,shape,shape,wrong,different,shape,sides,one,jutting,shape,cant,shape,center,line,biggersmaller,face,oriented,point,directions,angle,shapes,bigger,direction,wider,angle,symbol,direction,two,ends,right,line,triangle,large,shape,point,lines,two,ball,facing,two,left,one,two,lines,right,spaced,even,solid,shape,shapes,one,point,touching,curved,line,seems,inside
curved,curved,ball,dot,wrong,foursided,right,triangle,angels,one,line,small,farther,line,centered,circle,lower,centered,others,shape,extreme,line,larger,left,,,slatned,diagonal,trapezoid,diagonal,wrong,shape,shape,equally,one,sides,shape,evenly,hole,empty,line,bottom,face,direction,end,tow,angle,werent,shapes,shapes,wider,different,flipped,shapes,two,facing,right,left,triangle,one,shape,figure,lines,lines,ball,left,lines,lines,one,dots,face,two,spaced,amount,solid,closed,shapes,shape,point,line,curved,curved,incomplete,curved
curved,straight,ball,lined,shape,3,right,almost,angels,line,line,line,ball,objects,white,white,line,dot,others,leaner,position,dot,larger,side,,,slatned,lines,trapezoid,rectangular,wrong,orientation,shape,long,one,unequal,shape,split,hole,shape,symmetry,pointy,face,others,end,triangles,angle,flipped,shapes,facing,triangles,angle,flipped,arent,lines,lines,upright,circle,triangle,really,ball,point,lines,paralell,ball,side,lines,point,dots,space,face,small,spaced,dots,line,gap,instead,one,line,dot,line,line,incomplete,inside
curved,line,side,dot,shape,sides,right,flat,angels,longer,line,perpendicular,ball,spaced,white,dot,line,centered,triangle,triangle,position,farther,slightly,different,,,lines,shape,trapezoid,shape,shape,four,wider,display,jagged,jutting,shape,horizontally,hole,center,symmetry,tips,points,facing,end,facing,angle,side,shapes,opposite,triangles,different,flipped,facing,lines,angle,upright,top,triangle,small,ball,figure,parallel,two,ball,instead,lines,left,dots,two,face,lines,spaced,big,line,line,instead,shape,line,touching,line,isnt,one,shape
curved,slight,side,lined,wrong,3,triangle,triangle,angels,lines,slanted,small,ball,apart,white,centered,dot,dot,triangle,different,position,left,slightly,dot,,,lines,straight,instead,diagonal,shape,sides,wider,reflection,jagged,sides,remain,cant,middle,empty,symmetry,match,points,wrong,end,directions,angle,line,shapes,direction,wider,different,flipped,direction,lines,two,upright,right,small,small,outside,point,parallel,lines,ball,right,different,lines,dots,dots,face,point,spaced,space,solid,gap,one,one,line,line,line,curved,one,indented
curved,curve,ball,dot,wrong,sides,triangle,almost,angels,crossed,slanted,line,spaced,objects,dot,white,dot,centered,triangle,shape,dot,dot,slightly,placement,,,lines,sides,instead,rectangular,wrong,four,shape,display,jagged,unequal,remain,evenly,middle,shape,symmetry,tips,face,facing,towards,tow,pointed,relfection,bigger,shapes,wider,direction,upside,shapes,lines,ends,facing,circle,small,shape,outside,figure,parallel,paralell,ball,side,different,point,space,unequal,face,downward,apart,even,solid,line,one,shape,point,unattached,straight,line,seems,shape
curved,center,ball,orientation,shape,triangle,triangle,flat,angels,closer,slanted,perpendicular,spaced,spaced,dot,dot,lower,dot,triangle,others,dot,farther,larger,different,,,slatned,shape,instead,shape,wrong,sides,shape,reflection,part,jutting,remain,split,middle,center,symmetry,different,face,wrong,towards,triangles,angle,relfection,bigger,opposites,triangles,different,upside,arent,lines,facing,facing,top,small,top,shape,point,potentially,two,facing,black,different,left,space,dot,face,lower,apart,amount,line,line,two,separated,point,dot,straight,isnt,seems,indented
curved,line,side,dot,shape,shape,right,right,right,lines,smaller,curved,spaced,apart,dot,centered,lower,centered,triangle,longer,dot,left,larger,dot,,,slatned,straight,parallelogram,diagonal,shape,distorted,wider,triangle,part,sides,remain,horizontally,different,hole,symmetry,size,points,second,towards,facing,pointed,triangles,bigger,sides,triangles,direction,upside,facing,parallel,lines,facing,right,triangle,small,shape,figure,potentially,lines,facing,circle,side,lines,space,spacing,face,right,apart,dots,line,connected,two,two,line,unattached,straight,curved,incomplete,shape
curved,straight,side,orientation,wrong,triangle,right,angle,right,crossed,smaller,line,farther,objects,centered,white,line,dot,triangle,sides,extreme,dot,larger,placement,,,slatned,sides,parallelogram,rectangular,shape,angles,wider,mirror,part,unequal,rotate,aesthetic,different,middle,symmetry,top,points,shape,towards,directions,pointed,point,bigger,get,second,reflection,upside,direction,parallel,angle,right,circle,triangle,shape,different,black,potentially,paralell,facing,facing,side,point,one,unequal,right,two,apart,big,solid,line,shapes,separated,line,dot,instead,line,incomplete,indented
curved,curved,ball,dot,wrong,shape,triangle,right,right,closer,line,curved,farther,spaced,centered,dot,line,centered,pointed,triangle,extreme,farther,can,white,,,lines,stretched,parallelogram,shape,wrong,distorted,wider,images,larger,jutting,rotate,point,different,shape,symmetry,biggersmaller,points,reversed,dot,tow,pointed,directed,bigger,close,shape,reflection,enlarged,points,parallel,two,right,top,triangle,top,different,circle,intersecting,two,facing,left,side,left,one,dot,right,small,apart,space,solid,connected,shapes,two,small,dot,instead,isnt,one,concave
curved,straight,ball,isnt,shape,shape,triangle,angle,angels,lines,line,line,farther,apart,centered,centered,dot,uncentered,pointed,different,extreme,left,can,dot,,,lines,shape,shape,sides,wrong,angles,wider,like,larger,sides,shape,aesthetic,shape,hole,symmetry,bottom,face,second,dot,triangles,pointed,upper,bigger,would,seems,reflection,enlarged,facing,parallel,ends,right,right,small,shape,different,outside,intersecting,lines,facing,side,two,different,one,spacing,right,lines,pairs,even,line,shape,instead,separated,small,line,instead,curved,one,shape
line,curved,ball,inline,shape,3,right,flat,angels,crossed,slanted,curved,ball,dot,white,dot,dot,dot,pointed,shape,position,dot,can,closer,,,slatned,stretched,shape,different,shape,shape,wider,others,larger,unequal,shape,point,shape,middle,figure,shape,face,shape,dot,facing,pointed,left,bigger,actually,little,reflection,symbol,points,parallel,facing,upright,cirlce,small,orientation,different,shape,intersecting,paralell,facing,instead,two,orientation,dots,unequal,right,point,pairs,amount,line,isnt,instead,two,black,dot,curved,line,seems,concave
line,line,ball,line,shape,sides,right,triangle,angels,closer,slanted,line,ball,spaced,white,offcentered,dot,centered,pointed,others,position,orientation,can,acute,,,slatned,shape,shape,size,shape,isnt,shape,triangle,others,jutting,remain,aesthetic,shape,shape,figure,ends,face,reversed,dot,directions,angle,triangles,bigger,fit,big,reflection,symbol,facing,diverging,lines,upright,right,triangle,shape,different,instead,lines,lines,facing,right,lines,different,dots,dot,right,downward,pairs,dots,line,connected,one,separated,black,line,curved,isnt,seems,shape
line,straight,side,dot,wrong,shape,right,tall,angels,different,two,perpendicular,ball,compared,dot,dot,lower,uncentered,pointed,longer,dot,dot,can,angel,,,rhombus,diamond,trapezoid,sides,shape,rectangular,shape,mirror,others,sides,remain,point,hole,hole,line,shape,points,different,point,shapes,angle,point,bigger,together,smaller,reflection,flipped,points,diverging,angle,upright,side,triangle,orientation,different,inside,lines,parallel,facing,side,lines,orientation,dots,spacing,right,lower,pairs,big,solid,shape,one,two,circle,dot,curved,curved,incomplete,concave
curved,curved,side,isnt,wrong,3,triangle,flat,angels,angle,lines,perpendicular,ball,dotline,dot,offcentered,lower,dot,pointed,sides,dot,orientation,not,white,,,rhombus,rectangle,trapezoid,different,shape,shaped,shape,images,others,unequal,rotate,top,hole,middle,line,ends,points,orientation,point,reversed,angle,directed,shapes,shapes,second,triangles,flipped,facing,diverging,two,upright,line,small,shapes,shape,black,parallel,lines,left,black,different,different,space,spaced,right,right,pairs,space,solid,isnt,two,two,circle,line,line,line,incomplete,shape
curved,line,side,inline,wrong,sides,triangle,triangle,right,different,form,perpendicular,ball,pair,centered,dot,lower,centered,others,triangle,extreme,dot,not,dot,,,rectangle,diamond,trapezoid,size,wrong,shape,shape,like,one,pointy,rotate,bottom,hole,shape,symmetry,shape,face,different,end,shapes,angle,upper,shapes,opposites,second,oriented,upside,points,diverging,ends,facing,cirlce,small,arent,shape,circle,parallel,parallel,left,circle,different,orientation,space,dot,2,lines,dots,two,solid,connected,two,different,line,dot,line,straight,one,isnt
curved,straight,side,line,shape,different,triangle,tall,right,angle,right,perpendicular,spaced,dot,centered,offcentered,line,uncentered,others,different,extreme,orientation,not,closer,,,rectangle,rectangle,instead,sides,wrong,isnt,shape,others,one,sides,rotate,tips,middle,hole,symmetry,ends,face,orientation,end,reversed,angle,left,shapes,sides,second,instead,upside,facing,diverging,facing,facing,right,small,size,shape,outside,potentially,lines,left,facing,side,different,space,continuous,2,wrong,dots,points,line,shape,two,shapes,line,line,line,curved,one,circular
line,straight,ball,dot,shape,shape,right,doesnt,angels,different,angle,perpendicular,spaced,spaced,white,different,line,dot,others,shape,position,marker,not,acute,,,rhombus,doesnt,instead,different,wrong,rectangular,wider,pointing,one,dont,rotate,dont,middle,middle,figure,opposite,points,shapes,towards,shapes,pointed,orientation,shapes,get,second,mirrored,enlarged,tips,two,angles,facing,side,triangle,shapes,shape,shape,potentially,parallel,left,left,side,orientation,space,dots,2,angle,dots,separated,line,closed,shapes,two,small,dot,straight,line,seems,isnt
line,line,ball,inline,wrong,different,right,90,angels,angle,two,smaller,spaced,compared,white,dot,line,centered,others,others,position,less,not,angel,,,rhombus,90,instead,size,wrong,shaped,wider,left,one,match,rotate,match,middle,shape,figure,facing,points,facing,towards,reversed,pointed,wrong,shapes,close,shape,triangles,enlarged,triangle,lines,angles,facing,line,triangle,arent,shape,instead,intersecting,lines,left,side,two,doesnt,one,spaced,lines,lines,dots,line,solid,shape,shapes,different,small,line,straight,straight,seems,circular
curved,straight,ball,line,wrong,shape,right,degree,perpendicular,two,two,line,spaced,dotline,white,orientation,dot,marker,others,longer,position,13,figure,white,,,rhombus,degree,parallelogram,sides,shape,2,shape,pointing,jagged,pointy,shape,top,different,space,figure,parts,points,opposite,dot,shapes,angle,orientation,shapes,would,shape,oriented,enlarged,pointing,parallel,angles,right,cirlce,triangle,size,shape,inside,intersecting,parallel,left,instead,two,face,one,dot,lines,wrong,spaced,two,solid,closed,shapes,shapes,black,dot,straight,curved,incomplete,isnt
curved,line,side,dot,quadrilateral,triangle,right,angle,perpendicular,lines,two,meet,spaced,pair,dot,different,dot,less,others,sides,dot,marker,figure,dot,,,rhombus,angles,parallelogram,different,shape,sides,shape,left,jagged,sides,shape,bottom,different,inside,line,opposite,points,directions,dot,reversed,angle,wrong,shapes,actually,shape,instead,symbol,tips,diverging,angles,right,right,small,second,ball,black,lines,different,left,right,two,right,one,continuous,lines,angle,spaced,points,line,open,instead,two,black,line,instead,line,incomplete,circular
line,line,side,inline,quadrilateral,four,triangle,doesnt,perpendicular,intersect,two,large,farther,dot,dot,dot,dot,50,triangle,shape,dot,less,figure,closer,,,rectangle,doesnt,parallelogram,size,wrong,2,wider,mirror,jagged,dont,shape,tips,shape,space,line,facing,face,shapes,point,different,pointed,shapes,shapes,fit,shape,mirrored,symbol,triangle,two,parallel,right,side,small,shape,ball,circle,lines,orientation,left,side,lines,doesnt,one,dots,face,lines,spaced,separated,line,space,instead,different,circle,dot,instead,straight,one,dented
line,curved,side,line,quadrilateral,sides,triangle,90,perpendicular,right,two,line,farther,spaced,dot,orientation,lower,marker,triangle,narrow,dot,13,figure,acute,,,rectangle,90,shape,different,wrong,sides,wider,images,jagged,match,shape,dont,shape,inside,line,parts,face,facing,point,orientation,pointed,mirrored,shapes,together,seems,triangles,symbol,pointing,lines,parallel,right,line,small,smaller,ball,outside,parallel,different,ball,circle,lines,face,dots,spaced,face,wrong,spaced,line,line,incomplete,instead,shapes,circle,line,instead,curved,one,middle
line,straight,ball,dot,quadrilateral,isnt,triangle,degree,perpendicular,angles,two,right,farther,compared,centered,different,lower,less,pointed,shape,extreme,marker,figure,angel,,,rectangle,degree,shape,shape,shape,different,wider,different,part,pointy,shape,match,hole,space,symmetry,opposite,face,opposite,end,different,angle,shapes,bigger,shapes,seems,oriented,flipped,tips,parallel,parallel,upright,facing,triangle,second,ball,shape,parallel,orientation,ball,left,lines,right,dots,dot,face,angle,apart,two,solid,open,one,two,line,dot,curved,line,seems,dented
curved,line,ball,directly,quadrilateral,foursided,triangle,angle,perpendicular,x,two,angle,farther,dotline,centered,dot,lower,50,pointed,narrow,extreme,less,one,white,,,rectangle,angles,trapezoid,different,shape,shape,wider,sized,part,sides,remain,top,hole,inside,symmetry,facing,face,directions,end,orientation,angle,mirrored,shapes,shapes,seems,instead,flipped,triangle,diverging,parallel,upright,different,triangle,shape,ball,instead,potentially,different,ball,line,different,doesnt,dots,continuous,right,lines,apart,points,solid,space,one,different,line,line,curved,straight,seems,middle
curved,curved,ball,top,quadrilateral,3,right,shape,perpendicular,slanted,lines,smaller,farther,pair,centered,orientation,line,marker,others,shape,extreme,13,one,dot,,,rhombus,rectangle,trapezoid,shape,wrong,different,wider,shapes,part,dont,remain,bottom,middle,space,symmetry,parts,points,points,towards,different,pointed,different,bigger,facing,seems,mirrored,flipped,pointing,lines,lines,upright,direction,triangle,smaller,ball,inside,potentially,orientation,facing,circle,different,face,dots,dots,right,wrong,apart,separated,solid,incomplete,one,shapes,small,different,curved,curved,incomplete,dented
curved,straight,ball,line,quadrilateral,sides,right,thinner,perpendicular,crossed,lines,line,ball,dot,white,hole,line,less,others,narrow,position,dot,one,closer,,,rectangle,rectangle,instead,different,wrong,shape,shape,mirror,part,match,remain,tips,middle,inside,shape,crinkles,points,facing,towards,orientation,pointed,orientation,bigger,different,little,triangles,upside,tips,lines,parallel,facing,facing,small,small,outside,black,intersecting,different,facing,left,different,right,space,dots,right,angle,apart,line,open,gap,two,2,small,dot,line,straight,incomplete,middle
line,line,side,dot,quadrilateral,triangle,triangle,shape,perpendicular,different,lines,meet,ball,away,white,isnt,line,50,long,equilateral,position,closer,one,acute,,,rhombus,rectangular,instead,shape,unequal,different,shape,images,larger,pointy,remain,dont,gap,hole,shape,pattern,face,points,dot,different,angle,different,bigger,direction,little,oriented,upside,triangle,pointing,lines,facing,different,small,triangle,outside,circle,intersecting,orientation,facing,line,side,doesnt,space,arent,2,lines,pairs,two,open,line,two,shapes,small,orientation,line,line,one,shape
line,slight,side,directly,quadrilateral,shape,triangle,thinner,perpendicular,angle,lines,large,ball,line,white,centered,dot,dot,long,triangle,position,edge,one,angel,,,rhombus,shape,parallelogram,different,unequal,shape,shape,different,larger,sides,remain,match,gap,figure,tilted,crinkles,face,facing,dot,orientation,angle,orientation,shapes,facing,little,instead,upside,pointing,pointing,parallel,facing,direction,small,lot,outside,outside,lines,lines,left,circle,side,face,space,evenly,2,point,pairs,points,shape,gap,shapes,2,black,different,line,without,one,dent
line,curve,side,top,quadrilateral,shape,right,shape,perpendicular,flatter,lines,line,spaced,dot,dot,hole,dot,centered,skinny,equilateral,dot,dot,can,point,,,rhombus,diagonal,parallelogram,shape,unequal,orientation,shape,sized,larger,dont,rotate,shape,middle,hole,tilted,pattern,points,pointy,point,triangles,pointed,shapes,shapes,different,little,mirrored,enlarged,large,opposite,lines,right,facing,small,smaller,outside,shape,lines,parallel,left,left,side,right,space,spaced,2,right,pairs,separated,shape,line,shapes,shapes,black,dot,line,curves,one,center
line,center,side,line,quadrilateral,3,right,triangle,perpendicular,cross,lines,right,spaced,away,dot,isnt,lower,dot,skinny,triangle,dot,closer,can,centered,,,rhombus,lines,top,unequal,sides,different,shape,shapes,larger,match,rotate,symetrical,middle,figure,right,crinkles,points,tips,point,face,pointed,arent,shapes,direction,big,triangles,enlarged,difference,opposite,parallel,right,different,small,compared,outside,instead,parallel,lines,left,line,two,attached,one,dots,lines,lines,pairs,line,closed,gap,instead,2,black,orientation,straight,straight,seems,shape
curved,line,ball,dot,quadrilateral,sides,right,tip,perpendicular,plus,lines,angle,spaced,line,dot,centered,lower,centered,long,tall,dot,edge,not,point,,,rectangle,rectangular,top,length,sides,shape,wider,different,others,pointy,shape,shape,shape,hole,right,pattern,points,triangle,point,direction,pointed,parallel,one,figures,big,oriented,enlarged,size,lines,shapes,right,direction,small,big,outside,inside,parallel,parallel,ball,opposite,two,bars,one,arent,lines,point,dots,dots,closed,line,instead,shapes,circle,different,straight,line,seems,dent
curved,slight,ball,line,quadrilateral,different,right,top,perpendicular,doesnt,form,smaller,farther,dot,centered,hole,line,dot,long,triangle,extreme,dot,not,centered,,,rectangle,shape,top,shape,sides,orientation,wider,orientation,others,sides,shape,symetrical,shape,figure,angle,crinkles,points,facing,end,triangles,pointed,center,one,dotted,big,instead,symbol,large,lines,orientation,point,line,small,one,shape,black,potentially,lines,ball,facing,two,towards,one,evenly,lines,right,dots,clustered,open,line,one,2,circle,dot,straight,without,seems,center
